s,p,o
http://edukb.org/knowledge/0.1/class/physics#erlihechengyuerlipingheng-cd6028a1f34916da15ba1fa8caacd648,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#faladidianciganyingdinglu:-0d6ab6b6c51ecfbf998b6cb9d0807667,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#ganggan-fc0a9b4168f120bb7e9dbfe0dcd0f8b3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#guangpu-fdb5089ef4b46f09fa4cba1bd00a95b7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#guangyixiangduilun-dee8ba60250817b8949d25855b17f008,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#hualun-228f9da5a6df98c47e0ad86addf491db,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jiandandeluojidianlu-25d81866883474ea572779d35affbf5e,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jiasudu-0aabc18a000ee5d764b2dbb83f5da895,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jingdianxianxiangyudianrongqi-87b3552e17bac932d953b5ed12e0490c,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jixiebo-962e112be86f7e8d1a1855715d6ed662,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jixiexiaolu:-a6828c49ca41366e4d874445d28bf773,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jixiezhendong-a84da67ae9aa2167ffc7cf2937eea8b7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#kaipulexingxingyundongdinglu:-dc7219b5c61e601ec8100c556bfc453d,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#lixuedinglu:-da310675c74dcb1ae462ae07ad9a3ed2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#lixueshiyan-6cb00d4209b0475c8a9301d9682d56d4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#mocali-77ad26de66fc0daf2fd47a0544a0ca72,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#niudunyundongdinglu:-1f6d210d8ee8cfe113d211058693a41e,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#pengzhuang-b3f350c6d233266f4fc8fd512c9dbf0f,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#qidian-cb92d381ddc0e4c74be0a6b12d60ad91,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#qihua-d34218891b54d620571463675c23c161,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#quxianyundong-e5cd168c61f1e9ac69cb1d1ce747fd86,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#rexuedinglu:-6f665bcac58b75baf30ec4a89aad83c5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#ronghua-362232e771a7dd2e7919503e0af4e370,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#shengyindechansheng-5c6cf8ec1cf0b825c6cc3c1e8c2ab00c,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#shengyindechuanbo-36d6bfb0aca27e84897aa02e18cec245,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#sudu-10cf9dc43031ce2e74ae80c8dae4ddef,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wulidanwei-07fbdd6b13c493353eb6917e2a28ecd5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wulidinglu:-6986850c3c96f930b4008ee1b8cb2728,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wulifangfa-6a71619aa7f96e41a7fb243de9c6071e,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wuligainian-69349d1a43e43812c7e35aa23ea44a5c-1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wuliguilu:-437171026cc18150a72f88319a66757b,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wuliliang-3fb2d36fa25b04e6da100817d1179fb8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wulishiyan-5085600172a31a2401aba3c2646805b5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wulixianxiang-8bed36d11e471d4c1665df95fd2d108f,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wulixuejia-ae153348eda068f72b500a5a74936d00,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wuliyingyong-05443fe4c35e5eed6686e818738f6ffa,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#wuliyiqi-bce04f2ebeed99ea72cec34a0f39293d,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#xingbian-6ad703004faf662c8e9233d36d053c7a,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#yetideyaqiang-528058571355203f8212925c849034d0,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#yuanzhouyundong-ff9b31c229f018dcee77fb6b164989fe,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#yuanzi-40d2c555eb260607822d8cf3bde301e2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#yundongdehechengyufenjie-779ffeae81171727af993dfc24b378a3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#yundongdekuaiman-c9bed1a4a58a944088a12c1881521c73,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#yundongdemiaoshu-45622962a3d7a88fb3e40346f302da89,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#zhangduheshijiandeceliang-769d42e8e34821638044351f2d99460e,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#zhiliang-ba0d3222626c1194b02f353431611cea,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#zhongli-059039872a40cd50cfd4be9f86371918,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#ziyouluotiyundongyushuzhipaotiyundong-3e640fa174de539607b8bf6824bcb4b7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
