s,p,o
http://edukb.org/knowledge/0.1/category/math#242,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#243,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#247,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#248,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#249,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#250,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#251,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#252,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#256,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#26,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#260,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#262,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#264,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#270,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#272,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#274,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#28,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#281,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#283,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#284,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#288,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#291,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#292,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#294,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#30,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#303,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#306,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#307,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#316,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#32,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#325,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#326,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#33,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#38,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#42,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#43,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#45,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#46,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#47,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#49,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#53,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#55,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#58,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#62,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#63,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#73,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#74,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#76,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
